study_id,Space,contrast_id,X,Y,Z,id
Abe_2019,MNI,1,-26,-82,-34,Abe_2019-1
Abe_2019,MNI,1,-36,-42,-36,Abe_2019-1
Abe_2019,MNI,1,-52,-50,22,Abe_2019-1
Abe_2019,MNI,1,-60,-50,36,Abe_2019-1
Abe_2019,MNI,1,-54,-60,38,Abe_2019-1
Abe_2019,MNI,1,66,-18,-14,Abe_2019-1
Abe_2019,MNI,1,50,-34,-8,Abe_2019-1
Abe_2019,MNI,1,54,-56,22,Abe_2019-1
Abe_2019,MNI,1,52,-46,24,Abe_2019-1
Abe_2019,MNI,1,50,-50,26,Abe_2019-1
Abe_2019,MNI,1,58,-52,38,Abe_2019-1
Abe_2019,MNI,1,50,-56,52,Abe_2019-1
Abe_2019,MNI,1,-2,-50,52,Abe_2019-1
Abe_2019,MNI,1,6,-54,48,Abe_2019-1
Abe_2019,MNI,1,6,58,10,Abe_2019-1
Abe_2019,MNI,1,-36,10,50,Abe_2019-1
Abe_2019,MNI,1,28,32,44,Abe_2019-1
Abe_2019,MNI,1,-18,14,58,Abe_2019-1
Abe_2019,MNI,1,12,28,58,Abe_2019-1
Abe_2019,MNI,1,-8,24,52,Abe_2019-1
Abu-Akel_2020,MNI,1,54,-62,16,Abu-Akel_2020-1
Abu-Akel_2020,MNI,1,10,48,30,Abu-Akel_2020-1
Alkire_2018,MNI,1,10,-73,11,Alkire_2018-1
Alkire_2018,MNI,1,-31,-19,-9,Alkire_2018-1
Alkire_2018,MNI,1,-12,39,18,Alkire_2018-1
Alkire_2018,MNI,1,48,16,-29,Alkire_2018-1
Alkire_2018,MNI,1,10,5,-1,Alkire_2018-1
Alkire_2018,MNI,1,-41,17,-16,Alkire_2018-1
Alkire_2018,MNI,1,-12,-48,25,Alkire_2018-1
Alkire_2018,MNI,1,25,-7,-20,Alkire_2018-1
Alkire_2018,MNI,1,-12,17,10,Alkire_2018-1
Alkire_2018,MNI,1,10,9,12,Alkire_2018-1
Alkire_2018,MNI,1,18,-46,-2,Alkire_2018-1
Alkire_2018,MNI,1,-6,-4,9,Alkire_2018-1
Alkire_2018,MNI,1,-50,-56,-9,Alkire_2018-1
Alkire_2018,MNI,1,33,-73,38,Alkire_2018-1
Alkire_2018,MNI,1,52,12,32,Alkire_2018-1
Alkire_2018,MNI,1,18,-37,-13,Alkire_2018-1
Alkire_2018,MNI,1,4,45,11,Alkire_2018-1
Alkire_2018,MNI,1,-5,10,0,Alkire_2018-1
Alkire_2018,MNI,1,40,-77,-3,Alkire_2018-1
Alkire_2018,MNI,1,59,-17,-18,Alkire_2018-1
Alkire_2018,MNI,1,4,44,-15,Alkire_2018-1
Alkire_2018,MNI,1,46,-38,2,Alkire_2018-1
Alkire_2018,MNI,1,14,35,50,Alkire_2018-1
Alkire_2018,MNI,1,50,-67,34,Alkire_2018-1
Alkire_2018,MNI,1,-1,-79,38,Alkire_2018-1
Alkire_2018,MNI,1,42,26,-4,Alkire_2018-1
Alkire_2018,MNI,1,61,-56,18,Alkire_2018-1
Alkire_2018,MNI,1,-37,-71,40,Alkire_2018-1
Alkire_2018,MNI,1,20,-73,-32,Alkire_2018-1
Alkire_2018,MNI,1,-16,-92,-30,Alkire_2018-1
Alkire_2018,MNI,1,52,12,32,Alkire_2018-1
Alkire_2018,MNI,1,3,-51,-39,Alkire_2018-1
Alkire_2018,MNI,1,42,26,-4,Alkire_2018-1
Alkire_2018,MNI,1,-14,-98,4,Alkire_2018-1
Alkire_2018,MNI,2,-12,56,30,Alkire_2018-2
Alkire_2018,MNI,2,-12,39,21,Alkire_2018-2
Alkire_2018,MNI,2,-5,33,-2,Alkire_2018-2
Alkire_2018,MNI,2,-20,-34,-14,Alkire_2018-2
Alkire_2018,MNI,2,8,-71,11,Alkire_2018-2
Alkire_2018,MNI,2,20,-48,-2,Alkire_2018-2
Alkire_2018,MNI,2,-9,-48,25,Alkire_2018-2
Alkire_2018,MNI,2,-35,22,-25,Alkire_2018-2
Alkire_2018,MNI,2,-39,25,3,Alkire_2018-2
Alkire_2018,MNI,2,-50,16,-24,Alkire_2018-2
Alkire_2018,MNI,2,-26,5,-13,Alkire_2018-2
Alkire_2018,MNI,2,-41,-64,27,Alkire_2018-2
Alkire_2018,MNI,2,-39,-50,31,Alkire_2018-2
Alkire_2018,MNI,2,50,18,-29,Alkire_2018-2
Alkire_2018,MNI,2,25,12,-16,Alkire_2018-2
Alkire_2018,MNI,2,29,-5,-22,Alkire_2018-2
Alkire_2018,MNI,2,-12,16,9,Alkire_2018-2
Alkire_2018,MNI,2,-6,-3,6,Alkire_2018-2
Alkire_2018,MNI,2,8,8,13,Alkire_2018-2
Alkire_2018,MNI,2,-7,8,-11,Alkire_2018-2
Alkire_2018,MNI,2,5,8,-9,Alkire_2018-2
Alkire_2018,MNI,2,46,14,23,Alkire_2018-2
Alkire_2018,MNI,2,20,-75,-32,Alkire_2018-2
Alkire_2018,MNI,2,31,-77,9,Alkire_2018-2
Alkire_2018,MNI,2,-29,4,45,Alkire_2018-2
Alkire_2018,MNI,2,-58,-23,-16,Alkire_2018-2
Alkire_2018,MNI,2,54,-38,2,Alkire_2018-2
Alkire_2018,MNI,2,-11,-71,-30,Alkire_2018-2
Alkire_2018,MNI,2,-63,-50,2,Alkire_2018-2
Alkire_2018,MNI,2,-47,-53,-8,Alkire_2018-2
Alkire_2018,MNI,2,44,24,-2,Alkire_2018-2
Alkire_2018,MNI,2,44,-56,27,Alkire_2018-2
Alkire_2018,MNI,2,18,-38,-14,Alkire_2018-2
Alkire_2018,MNI,2,35,-38,-18,Alkire_2018-2
Alkire_2018,MNI,2,8,-51,-39,Alkire_2018-2
Alkire_2018,MNI,3,16,-71,11,Alkire_2018-3
Alkire_2018,MNI,3,14,-38,-2,Alkire_2018-3
Alkire_2018,MNI,3,-14,-36,-5,Alkire_2018-3
Alkire_2018,MNI,3,-7,62,14,Alkire_2018-3
Alkire_2018,MNI,3,20,-73,-30,Alkire_2018-3
Alkire_2018,MNI,3,-37,-71,40,Alkire_2018-3
Alkire_2018,MNI,3,-12,-46,25,Alkire_2018-3
Alkire_2018,MNI,3,-50,-54,-9,Alkire_2018-3
Alkire_2018,MNI,3,20,-9,-9,Alkire_2018-3
Alkire_2018,MNI,3,-26,-19,-9,Alkire_2018-3
Alkire_2018,MNI,3,3,-55,-41,Alkire_2018-3
Alkire_2018,MNI,3,1,-77,31,Alkire_2018-3
Alkire_2018,MNI,3,-26,-75,-37,Alkire_2018-3
Anders_2015,MNI,1,6,-54,15,Anders_2015-1
Anders_2015,MNI,1,-42,-63,18,Anders_2015-1
Anders_2015,MNI,1,9,39,51,Anders_2015-1
Anders_2015,MNI,1,-48,3,-36,Anders_2015-1
Anders_2015,MNI,1,45,6,-36,Anders_2015-1
Anders_2015,MNI,2,-9,45,30,Anders_2015-2
Assaf_2013,MNI,1,-54,-60,9,Assaf_2013-1
Assaf_2013,MNI,1,57,-48,12,Assaf_2013-1
Assaf_2013,MNI,1,-39,10,-30,Assaf_2013-1
Assaf_2013,MNI,1,36,10,-39,Assaf_2013-1
Assaf_2013,MNI,1,45,-45,-18,Assaf_2013-1
Assaf_2013,MNI,1,0,42,12,Assaf_2013-1
Assaf_2013,MNI,1,9,-45,39,Assaf_2013-1
Assaf_2013,MNI,1,51,15,36,Assaf_2013-1
Assaf_2013,MNI,1,-21,9,-15,Assaf_2013-1
Assaf_2013,MNI,1,15,12,-6,Assaf_2013-1
Bach_2019,MNI,1,-39,26,-14,Bach_2019-1
Bach_2019,MNI,1,54,29,1,Bach_2019-1
Bach_2019,MNI,1,-39,-64,-17,Bach_2019-1
Bach_2019,MNI,1,-57,-34,-8,Bach_2019-1
Bach_2019,MNI,1,12,-7,-2,Bach_2019-1
Bach_2019,MNI,1,57,-25,-14,Bach_2019-1
Bach_2019,MNI,1,9,44,31,Bach_2019-1
Bach_2019,MNI,1,3,-49,22,Bach_2019-1
Bach_2019,MNI,1,-39,17,43,Bach_2019-1
Bach_2019,MNI,1,-51,-58,25,Bach_2019-1
Bach_2019,MNI,1,30,17,-11,Bach_2019-1
Bach_2019,MNI,1,57,-49,25,Bach_2019-1
Bach_2019,MNI,2,9,-67,32,Bach_2019-2
Bach_2019,MNI,2,3,-49,22,Bach_2019-2
Bach_2019,MNI,2,3,-28,37,Bach_2019-2
Bault_2011,MNI,1,12,-87,-3,Bault_2011-1
Bault_2011,MNI,1,57,-39,18,Bault_2011-1
Bault_2011,MNI,1,27,21,-15,Bault_2011-1
Bault_2011,MNI,1,54,-15,-12,Bault_2011-1
Bault_2011,MNI,1,42,24,24,Bault_2011-1
Bault_2011,MNI,1,-60,-51,21,Bault_2011-1
Bault_2011,MNI,1,-3,42,39,Bault_2011-1
Bault_2011,MNI,1,9,54,-15,Bault_2011-1
Bault_2011,MNI,1,48,-54,-3,Bault_2011-1
Bault_2011,MNI,1,9,-48,42,Bault_2011-1
Bault_2011,MNI,1,-36,18,-18,Bault_2011-1
Bault_2011,MNI,1,9,54,3,Bault_2011-1
Bault_2011,MNI,1,-9,-27,-6,Bault_2011-1
Bault_2011,MNI,1,-63,-6,-21,Bault_2011-1
Bault_2011,MNI,1,12,36,57,Bault_2011-1
Bault_2011,MNI,1,-57,-27,-6,Bault_2011-1
Bault_2011,MNI,1,-42,15,30,Bault_2011-1
Bereczkei_2015,MNI,1,54,-56,-18,Bereczkei_2015-1
Bereczkei_2015,MNI,1,-28,-96,-6,Bereczkei_2015-1
Bereczkei_2015,MNI,1,30,-98,-6,Bereczkei_2015-1
Bereczkei_2015,MNI,1,48,10,24,Bereczkei_2015-1
Bereczkei_2015,MNI,1,-44,6,30,Bereczkei_2015-1
Bereczkei_2015,MNI,1,50,36,24,Bereczkei_2015-1
Bereczkei_2015,MNI,1,2,22,46,Bereczkei_2015-1
Bereczkei_2015,MNI,1,34,-58,48,Bereczkei_2015-1
Bereczkei_2015,MNI,1,-30,-58,46,Bereczkei_2015-1
Bereczkei_2015,MNI,2,-34,-94,-10,Bereczkei_2015-2
Bereczkei_2015,MNI,2,28,-100,-4,Bereczkei_2015-2
Bereczkei_2015,MNI,2,54,-56,-18,Bereczkei_2015-2
Bereczkei_2015,MNI,2,-32,24,-8,Bereczkei_2015-2
Bereczkei_2015,MNI,2,34,20,-6,Bereczkei_2015-2
Bereczkei_2015,MNI,2,34,20,-6,Bereczkei_2015-2
Bereczkei_2015,MNI,2,38,60,2,Bereczkei_2015-2
Bereczkei_2015,MNI,2,46,42,30,Bereczkei_2015-2
Bereczkei_2015,MNI,2,-52,12,24,Bereczkei_2015-2
Bereczkei_2015,MNI,2,10,-8,0,Bereczkei_2015-2
Bereczkei_2015,MNI,2,6,30,46,Bereczkei_2015-2
Bereczkei_2015,MNI,2,6,-4,30,Bereczkei_2015-2
Bereczkei_2015,MNI,2,6,30,46,Bereczkei_2015-2
Bereczkei_2015,MNI,2,32,-62,46,Bereczkei_2015-2
Bereczkei_2015,MNI,2,-32,-56,46,Bereczkei_2015-2
Berns_2005,MNI,1,-18,-90,9,Berns_2005-1
Berns_2005,MNI,1,24,-87,9,Berns_2005-1
Berns_2005,MNI,1,24,-69,36,Berns_2005-1
Berns_2005,MNI,1,18,-57,48,Berns_2005-1
Berns_2005,MNI,2,15,-3,-18,Berns_2005-2
Berns_2005,MNI,2,6,12,3,Berns_2005-2
Berns_2005,MNI,3,48,-48,27,Berns_2005-3
Berns_2005,MNI,3,54,24,9,Berns_2005-3
Berns_2005,MNI,3,-54,21,9,Berns_2005-3
Berns_2005,MNI,3,42,33,-15,Berns_2005-3
Berns_2005,MNI,3,-36,27,-18,Berns_2005-3
Berns_2005,MNI,3,12,45,54,Berns_2005-3
Berns_2005,MNI,3,-9,42,30,Berns_2005-3
Berns_2005,MNI,3,9,54,3,Berns_2005-3
Berns_2005,MNI,3,60,-33,-3,Berns_2005-3
Berns_2005,MNI,3,-51,-51,3,Berns_2005-3
Beyer_2018,MNI,1,-2,-62,40,Beyer_2018-1
Beyer_2018,MNI,1,30,26,40,Beyer_2018-1
Beyer_2018,MNI,1,44,-54,22,Beyer_2018-1
Beyer_2018,MNI,1,-44,-52,34,Beyer_2018-1
Beyer_2018,MNI,2,60,-6,-14,Beyer_2018-2
Beyer_2018,MNI,2,-4,-52,38,Beyer_2018-2
Beyer_2018,MNI,2,60,-58,34,Beyer_2018-2
Beyer_2018,MNI,2,-52,-56,34,Beyer_2018-2
Bitsch_2018,MNI,1,32,-54,46,Bitsch_2018-1
Bitsch_2018,MNI,1,30,-60,46,Bitsch_2018-1
Bitsch_2018,MNI,1,50,-46,42,Bitsch_2018-1
Bitsch_2018,MNI,1,-34,-68,-30,Bitsch_2018-1
Bitsch_2018,MNI,1,-32,-56,50,Bitsch_2018-1
Bitsch_2018,MNI,1,44,36,28,Bitsch_2018-1
Bitsch_2018,MNI,1,42,6,32,Bitsch_2018-1
Bitsch_2018,MNI,1,32,22,-2,Bitsch_2018-1
Bitsch_2018,MNI,1,32,58,16,Bitsch_2018-1
Bitsch_2018,MNI,1,38,50,-8,Bitsch_2018-1
Bitsch_2018,MNI,1,44,24,32,Bitsch_2018-1
Bitsch_2018,MNI,1,6,24,50,Bitsch_2018-1
Bitsch_2018,MNI,1,6,32,42,Bitsch_2018-1
Bitsch_2018,MNI,1,-46,2,34,Bitsch_2018-1
Bitsch_2018,MNI,1,-44,30,28,Bitsch_2018-1
Bitsch_2018,MNI,1,-28,0,50,Bitsch_2018-1
Bitsch_2018,MNI,1,-32,52,0,Bitsch_2018-1
Bitsch_2018,MNI,1,-36,54,10,Bitsch_2018-1
Bitsch_2018,MNI,1,-26,48,-12,Bitsch_2018-1
Bitsch_2018,MNI,1,-6,-28,39,Bitsch_2018-1
Brandi_2021,MNI,1,48,-44,18,Brandi_2021-1
Brandi_2021,MNI,1,44,-62,2,Brandi_2021-1
Brandi_2021,MNI,1,-46,-62,14,Brandi_2021-1
Brandi_2021,MNI,1,-50,-70,38,Brandi_2021-1
Brandi_2021,MNI,1,-50,-60,46,Brandi_2021-1
Brandi_2021,MNI,1,6,-58,30,Brandi_2021-1
Brandi_2021,MNI,1,46,2,44,Brandi_2021-1
Brandi_2021,MNI,1,34,20,-18,Brandi_2021-1
Brandi_2021,MNI,1,40,20,18,Brandi_2021-1
Brandi_2021,MNI,1,44,20,38,Brandi_2021-1
Brandi_2021,MNI,1,34,12,-34,Brandi_2021-1
Brandi_2021,MNI,1,4,56,20,Brandi_2021-1
Brandi_2021,MNI,1,2,46,-2,Brandi_2021-1
Brandi_2021,MNI,1,2,26,16,Brandi_2021-1
Brandi_2021,MNI,1,20,40,38,Brandi_2021-1
Brandi_2021,MNI,1,8,20,56,Brandi_2021-1
Brandi_2021,MNI,1,-4,68,4,Brandi_2021-1
Brandi_2021,MNI,1,-22,-80,-38,Brandi_2021-1
Brandi_2021,MNI,1,-40,-2,48,Brandi_2021-1
Brandi_2021,MNI,1,50,4,-34,Brandi_2021-1
Brandi_2021,MNI,1,54,2,-22,Brandi_2021-1
Brune_2013,MNI,1,18,17,-2,Brune_2013-1
Brune_2013,MNI,1,-15,-19,10,Brune_2013-1
Brune_2013,MNI,1,3,-25,31,Brune_2013-1
Brune_2013,MNI,1,39,17,1,Brune_2013-1
Brune_2013,MNI,1,-36,17,1,Brune_2013-1
Brune_2013,MNI,1,15,-85,1,Brune_2013-1
Brune_2013,MNI,1,-12,-88,4,Brune_2013-1
Brune_2013,MNI,1,54,8,25,Brune_2013-1
Brune_2013,MNI,1,-48,5,31,Brune_2013-1
Brune_2013,MNI,1,-3,5,58,Brune_2013-1
Brune_2013,MNI,1,-48,-34,49,Brune_2013-1
Brune_2013,MNI,1,-45,-1,46,Brune_2013-1
Buades-Rotger_2017,MNI,1,-22,-2,65,Buades-Rotger_2017-1
Buades-Rotger_2017,MNI,1,28,-7,58,Buades-Rotger_2017-1
Buades-Rotger_2017,MNI,1,-7,11,45,Buades-Rotger_2017-1
Buades-Rotger_2017,MNI,1,31,-52,-33,Buades-Rotger_2017-1
Buades-Rotger_2017,MNI,1,21,-55,-23,Buades-Rotger_2017-1
Buades-Rotger_2017,MNI,1,18,-67,55,Buades-Rotger_2017-1
Buades-Rotger_2017,MNI,1,-10,-17,3,Buades-Rotger_2017-1
Buades-Rotger_2017,MNI,1,1,-30,3,Buades-Rotger_2017-1
Buades-Rotger_2017,MNI,1,3,-20,-5,Buades-Rotger_2017-1
Buades-Rotger_2017,MNI,1,18,-97,15,Buades-Rotger_2017-1
Buades-Rotger_2017,MNI,1,13,-100,3,Buades-Rotger_2017-1
Caruana_2015,MNI,1,34,52,0,Caruana_2015-1
Caruana_2015,MNI,1,24,52,26,Caruana_2015-1
Caruana_2015,MNI,1,-26,44,14,Caruana_2015-1
Caruana_2015,MNI,1,3,42,36,Caruana_2015-1
Caruana_2015,MNI,1,-34,22,2,Caruana_2015-1
Caruana_2015,MNI,1,48,22,18,Caruana_2015-1
Caruana_2015,MNI,1,46,24,8,Caruana_2015-1
Caruana_2015,MNI,1,42,8,44,Caruana_2015-1
Caruana_2015,MNI,1,52,-22,-14,Caruana_2015-1
Caruana_2015,MNI,1,52,-44,24,Caruana_2015-1
Caruana_2015,MNI,1,-60,-48,14,Caruana_2015-1
Caruana_2015,MNI,1,52,-44,24,Caruana_2015-1
Caruana_2015,MNI,1,-52,-48,34,Caruana_2015-1
Caruana_2015,MNI,1,4,-62,58,Caruana_2015-1
Caruana_2015,MNI,1,16,-6,-10,Caruana_2015-1
Caruana_2015,MNI,2,38,52,0,Caruana_2015-2
Caruana_2015,MNI,2,38,36,34,Caruana_2015-2
Caruana_2015,MNI,2,34,54,16,Caruana_2015-2
Caruana_2015,MNI,2,-26,4,58,Caruana_2015-2
Caruana_2015,MNI,2,-40,56,4,Caruana_2015-2
Caruana_2015,MNI,2,8,44,48,Caruana_2015-2
Caruana_2015,MNI,2,42,26,-6,Caruana_2015-2
Caruana_2015,MNI,2,54,22,26,Caruana_2015-2
Caruana_2015,MNI,2,-22,6,60,Caruana_2015-2
Caruana_2015,MNI,2,4,40,12,Caruana_2015-2
Caruana_2015,MNI,2,10,18,32,Caruana_2015-2
Caruana_2015,MNI,2,-6,-6,32,Caruana_2015-2
Caruana_2015,MNI,2,40,6,48,Caruana_2015-2
Caruana_2015,MNI,2,-30,-2,58,Caruana_2015-2
Caruana_2015,MNI,2,40,-52,-14,Caruana_2015-2
Caruana_2015,MNI,2,48,-72,-2,Caruana_2015-2
Caruana_2015,MNI,2,-46,-44,6,Caruana_2015-2
Caruana_2015,MNI,2,56,-42,22,Caruana_2015-2
Caruana_2015,MNI,2,-52,-46,18,Caruana_2015-2
Caruana_2015,MNI,2,56,-40,40,Caruana_2015-2
Caruana_2015,MNI,2,38,-60,-12,Caruana_2015-2
Caruana_2015,MNI,2,8,-40,14,Caruana_2015-2
Caruana_2015,MNI,2,10,-62,51,Caruana_2015-2
Caruana_2015,MNI,2,4,-84,24,Caruana_2015-2
Caruana_2015,MNI,2,0,-96,-2,Caruana_2015-2
Caruana_2015,MNI,2,-22,-66,-4,Caruana_2015-2
Caruana_2015,MNI,2,18,-82,32,Caruana_2015-2
Caruana_2015,MNI,2,-46,-74,0,Caruana_2015-2
Caruana_2015,MNI,2,12,-12,6,Caruana_2015-2
Caruana_2015,MNI,2,-30,-70,-28,Caruana_2015-2
Cavallo_2015,MNI,1,54,21,4,Cavallo_2015-1
Cavallo_2015,MNI,1,42,10,0,Cavallo_2015-1
Cavallo_2015,MNI,1,63,7,7,Cavallo_2015-1
Cavallo_2015,MNI,1,2,27,20,Cavallo_2015-1
Cavallo_2015,MNI,1,19,-6,10,Cavallo_2015-1
Cavallo_2015,MNI,1,31,7,4,Cavallo_2015-1
Cavallo_2015,MNI,1,37,10,4,Cavallo_2015-1
Cavallo_2015,MNI,1,19,-7,-4,Cavallo_2015-1
Cavallo_2015,MNI,1,23,-1,5,Cavallo_2015-1
Cavallo_2015,MNI,1,-43,20,5,Cavallo_2015-1
Cavallo_2015,MNI,1,-40,6,2,Cavallo_2015-1
Cavallo_2015,MNI,1,-55,0,8,Cavallo_2015-1
Cavallo_2015,MNI,1,0,57,20,Cavallo_2015-1
Cavallo_2015,MNI,1,1,-1,56,Cavallo_2015-1
Cavallo_2015,MNI,1,-28,5,5,Cavallo_2015-1
Cavallo_2015,MNI,1,-36,6,1,Cavallo_2015-1
Cavallo_2015,MNI,1,-19,-10,-3,Cavallo_2015-1
Cavallo_2015,MNI,1,-20,-11,8,Cavallo_2015-1
Cavallo_2015,MNI,2,46,21,4,Cavallo_2015-2
Cavallo_2015,MNI,2,42,13,3,Cavallo_2015-2
Cavallo_2015,MNI,2,62,8,7,Cavallo_2015-2
Cavallo_2015,MNI,2,6,27,20,Cavallo_2015-2
Cavallo_2015,MNI,2,57,-40,7,Cavallo_2015-2
Cavallo_2015,MNI,2,15,-1,8,Cavallo_2015-2
Cavallo_2015,MNI,2,19,3,1,Cavallo_2015-2
Cavallo_2015,MNI,2,38,4,1,Cavallo_2015-2
Cavallo_2015,MNI,2,19,1,2,Cavallo_2015-2
Cavallo_2015,MNI,2,-44,20,5,Cavallo_2015-2
Cavallo_2015,MNI,2,-40,6,2,Cavallo_2015-2
Cavallo_2015,MNI,2,-52,0,6,Cavallo_2015-2
Cavallo_2015,MNI,2,-1,57,20,Cavallo_2015-2
Cavallo_2015,MNI,2,0,-2,57,Cavallo_2015-2
Cavallo_2015,MNI,2,-26,-6,8,Cavallo_2015-2
Cavallo_2015,MNI,2,-35,3,2,Cavallo_2015-2
Cavallo_2015,MNI,3,49,21,7,Cavallo_2015-3
Cavallo_2015,MNI,3,43,10,4,Cavallo_2015-3
Cavallo_2015,MNI,3,2,27,20,Cavallo_2015-3
Cavallo_2015,MNI,3,58,-40,8,Cavallo_2015-3
Cavallo_2015,MNI,3,38,7,4,Cavallo_2015-3
Cavallo_2015,MNI,3,-46,20,8,Cavallo_2015-3
Cavallo_2015,MNI,3,-40,7,6,Cavallo_2015-3
Cavallo_2015,MNI,3,-2,56,20,Cavallo_2015-3
Cavallo_2015,MNI,3,0,-4,56,Cavallo_2015-3
Cavallo_2015,MNI,3,-33,7,5,Cavallo_2015-3
Cavallo_2015,MNI,4,40,-84,-9,Cavallo_2015-4
Cavallo_2015,MNI,4,29,-97,1,Cavallo_2015-4
Cavallo_2015,MNI,4,0,57,20,Cavallo_2015-4
Cavallo_2015,MNI,4,-40,-83,-11,Cavallo_2015-4
Cavallo_2015,MNI,4,-27,-97,1,Cavallo_2015-4
Chaminade_2015,MNI,1,55,-51,22,Chaminade_2015-1
Chaminade_2015,MNI,1,12,-57,45,Chaminade_2015-1
Chaminade_2015,MNI,1,57,-27,-11,Chaminade_2015-1
Chaminade_2015,MNI,1,4,42,31,Chaminade_2015-1
Chaminade_2015,MNI,1,27,27,36,Chaminade_2015-1
Chaminade_2012,MNI,1,-24,10,62,Chaminade_2012-1
Chaminade_2012,MNI,1,-8,-64,52,Chaminade_2012-1
Chaminade_2012,MNI,1,-46,-44,50,Chaminade_2012-1
Chaminade_2012,MNI,1,-34,4,44,Chaminade_2012-1
Chaminade_2012,MNI,1,-46,16,42,Chaminade_2012-1
Chaminade_2012,MNI,1,-30,-70,38,Chaminade_2012-1
Chaminade_2012,MNI,1,4,42,34,Chaminade_2012-1
Chaminade_2012,MNI,1,56,-54,28,Chaminade_2012-1
Chaminade_2012,MNI,1,6,-2,6,Chaminade_2012-1
Chaminade_2012,MNI,2,56,-52,16,Chaminade_2012-2
Chauvigne_2018a,MNI,1,44,-63,9,Chauvigne_2018a-1
Chauvigne_2018a,MNI,1,47,-26,59,Chauvigne_2018a-1
Chauvigne_2018a,MNI,1,-47,-63,7,Chauvigne_2018a-1
Chauvigne_2018a,MNI,1,-50,-26,57,Chauvigne_2018a-1
Chauvigne_2018b,MNI,1,4,54,21,Chauvigne_2018b-1
Chauvigne_2018b,MNI,1,43,18,11,Chauvigne_2018b-1
Chauvigne_2018b,MNI,1,47,-4,13,Chauvigne_2018b-1
Chauvigne_2018b,MNI,1,-9,51,-15,Chauvigne_2018b-1
Chauvigne_2018b,MNI,1,43,19,-19,Chauvigne_2018b-1
Chauvigne_2018b,MNI,1,-50,-30,54,Chauvigne_2018b-1
Chauvigne_2018b,MNI,1,50,-23,55,Chauvigne_2018b-1
Chauvigne_2018b,MNI,1,50,-26,18,Chauvigne_2018b-1
Chauvigne_2018b,MNI,1,-11,-27,50,Chauvigne_2018b-1
Chauvigne_2018b,MNI,1,-54,-24,17,Chauvigne_2018b-1
Chauvigne_2018b,MNI,1,56,-62,8,Chauvigne_2018b-1
Chauvigne_2018b,MNI,1,53,-64,-8,Chauvigne_2018b-1
Chauvigne_2018b,MNI,1,57,-45,27,Chauvigne_2018b-1
Chauvigne_2018b,MNI,1,44,-55,18,Chauvigne_2018b-1
Chauvigne_2018b,MNI,1,-2,15,12,Chauvigne_2018b-1
Chauvigne_2018b,MNI,1,14,-15,-2,Chauvigne_2018b-1
Chauvigne_2018b,MNI,1,37,-6,-10,Chauvigne_2018b-1
Chauvigne_2018b,MNI,1,46,-72,-21,Chauvigne_2018b-1
Chauvigne_2018b,MNI,1,17,-56,-18,Chauvigne_2018b-1
Chauvigne_2018b,MNI,2,47,-29,62,Chauvigne_2018b-2
Chauvigne_2018b,MNI,2,-50,-30,51,Chauvigne_2018b-2
Chauvigne_2018b,MNI,2,2,-17,49,Chauvigne_2018b-2
Chauvigne_2018b,MNI,2,50,-32,22,Chauvigne_2018b-2
Corradi-DellAcqua_2013,MNI,1,42,-34,38,Corradi-DellAcqua_2013-1
Corradi-DellAcqua_2013,MNI,1,-40,-36,38,Corradi-DellAcqua_2013-1
Corradi-DellAcqua_2013,MNI,1,10,-64,10,Corradi-DellAcqua_2013-1
Corradi-DellAcqua_2013,MNI,1,-10,-66,10,Corradi-DellAcqua_2013-1
Corradi-DellAcqua_2013,MNI,1,10,-64,38,Corradi-DellAcqua_2013-1
Corradi-DellAcqua_2013,MNI,1,-8,-62,36,Corradi-DellAcqua_2013-1
Corradi-DellAcqua_2013,MNI,1,30,22,2,Corradi-DellAcqua_2013-1
Corradi-DellAcqua_2013,MNI,1,-34,16,0,Corradi-DellAcqua_2013-1
Corradi-DellAcqua_2013,MNI,1,-6,-12,-10,Corradi-DellAcqua_2013-1
Corradi-DellAcqua_2013,MNI,1,-2,18,44,Corradi-DellAcqua_2013-1
Corradi-DellAcqua_2013,MNI,1,-40,-6,52,Corradi-DellAcqua_2013-1
Corradi-DellAcqua_2013,MNI,1,36,10,54,Corradi-DellAcqua_2013-1
Corradi-DellAcqua_2013,MNI,1,42,42,14,Corradi-DellAcqua_2013-1
Corradi-DellAcqua_2013,MNI,1,50,-62,-12,Corradi-DellAcqua_2013-1
Corradi-DellAcqua_2013,MNI,1,-30,-78,-8,Corradi-DellAcqua_2013-1
Corradi-DellAcqua_2013,MNI,1,36,-84,-12,Corradi-DellAcqua_2013-1
Corradi-DellAcqua_2013,MNI,1,48,4,26,Corradi-DellAcqua_2013-1
deQuervain_2004,MNI,1,6,22,4,deQuervain_2004-1
deQuervain_2004,MNI,1,22,-24,10,deQuervain_2004-1
deQuervain_2004,MNI,2,6,22,4,deQuervain_2004-2
deQuervain_2004,MNI,2,22,-22,10,deQuervain_2004-2
deQuervain_2004,MNI,2,-28,-58,42,deQuervain_2004-2
deQuervain_2004,MNI,2,60,-62,-22,deQuervain_2004-2
deQuervain_2004,MNI,2,30,-78,50,deQuervain_2004-2
deQuervain_2004,MNI,3,6,24,2,deQuervain_2004-3
deQuervain_2004,MNI,3,22,-22,10,deQuervain_2004-3
deQuervain_2004,MNI,3,58,-38,-32,deQuervain_2004-3
